PCON21CD,LAD21CD,percentage_overlap
E14000530,E07000089,0.10092379584462968
E14000530,E07000092,0.8990762041553703
E14000531,E08000030,1.0
E14000532,E08000009,1.0
E14000534,E07000224,0.26915097519722475
E14000534,E07000225,0.0917230993900804
E14000534,E07000227,0.47149371865324796
E14000534,E07000228,0.16763220675944693
E14000535,E07000172,0.14207065781584588
E14000535,E07000170,0.8579293421841542
E14000536,E07000105,1.0
E14000537,E08000008,0.7752534646836327
E14000537,E08000004,0.22474653531636735
E14000538,E06000060,1.0
E14000539,E07000177,1.0
E14000540,E09000002,1.0
E14000541,E08000016,1.0
E14000542,E08000016,1.0
E14000543,E07000031,0.22739476600649075
E14000543,E07000027,0.7726052339935092
E14000544,E07000066,1.0
E14000545,E07000084,1.0
E14000546,E07000171,1.0
E14000548,E08000034,1.0
E14000549,E09000032,1.0
E14000550,E06000060,1.0
E14000551,E09000006,1.0
E14000552,E06000055,1.0
E14000553,E09000028,1.0
E14000554,E06000057,1.0
E14000556,E06000011,1.0
E14000558,E09000004,1.0
E14000559,E08000015,1.0
E14000560,E08000025,1.0
E14000561,E08000025,1.0
E14000563,E08000025,1.0
E14000564,E08000025,1.0
E14000565,E08000025,1.0
E14000566,E08000025,1.0
E14000567,E08000025,1.0
E14000568,E08000025,1.0
E14000569,E06000047,1.0
E14000571,E08000006,0.26378952565462793
E14000571,E08000003,0.7362104743453721
E14000572,E06000009,0.7183900607656517
E14000572,E07000128,0.28160993923434824
E14000573,E06000009,1.0
E14000574,E06000057,0.00026989208111200067
E14000574,E08000037,0.999730107918888
E14000575,E06000057,1.0
E14000577,E07000038,0.1967976386099133
E14000577,E07000033,0.8032023613900867
E14000581,E08000014,1.0
E14000582,E07000137,0.3533038404719523
E14000582,E07000136,0.6466961595280477
E14000583,E07000132,1.0
E14000584,E06000058,1.0
E14000585,E06000058,1.0
E14000587,E08000032,1.0
E14000588,E08000032,1.0
E14000589,E08000032,1.0
E14000590,E07000067,1.0
E14000592,E09000005,0.9998355747317275
E14000592,E09000009,0.00016442526827249403
E14000593,E09000009,0.0003567317109531967
E14000593,E09000018,0.9996432682890468
E14000594,E07000072,0.20627183442775043
E14000594,E07000068,0.7937281655722496
E14000595,E07000188,0.6935209058846851
E14000595,E07000246,0.306479094115315
E14000596,E06000013,0.6371144554450882
E14000596,E06000011,0.36288554455491184
E14000598,E06000043,1.0
E14000599,E06000023,1.0
E14000600,E06000023,1.0
E14000602,E06000023,1.0
E14000603,E07000144,0.8272219831239844
E14000603,E07000147,0.17277801687601554
E14000604,E09000006,1.0
E14000605,E07000234,1.0
E14000607,E07000172,1.0
E14000608,E06000060,1.0
E14000609,E07000117,1.0
E14000610,E07000193,1.0
E14000611,E08000002,1.0
E14000612,E08000002,1.0
E14000613,E07000203,0.5470608030451849
E14000613,E07000245,0.4529391969548151
E14000614,E08000033,1.0
E14000615,E09000028,1.0
E14000616,E06000052,1.0
E14000617,E07000012,0.00030968628852539866
E14000617,E07000008,0.9996903137114747
E14000618,E07000192,1.0
