PCON11CD,con_pop
E14000730,80941
E14000731,81947
E14000732,84458
E14000733,72880
E14000734,79235
E14000735,87998
E14000736,75662
E14000737,94349
E14000738,62995
E14000739,81682
E14000740,78434
E14000741,107552
E14000742,79226
E14000743,81163
E14000744,89864
E14000745,79114
E14000746,63151
E14000747,83833
E14000748,74209
E14000749,78399
E14000750,137162
E14000751,85694
E14000752,98474
E14000753,89881
E14000754,70269
E14000755,83068
E14000756,79159
E14000757,95094
E14000758,70904
E14000759,84048
E14000760,105616
E14000761,85864
E14000762,115574
E14000763,97186
E14000764,106700
E14000765,66012
E14000766,74391
E14000767,69443
E14000768,91327
E14000769,77984
E14000770,100702
E14000771,68273
E14000772,75073
E14000773,68906
E14000774,71547
E14000775,83056
E14000776,77519
E14000777,127760
E14000778,74338
E14000779,71217
E14000780,71457
E14000781,74733
E14000782,86097
E14000783,100552
E14000784,81045
E14000785,84227
E14000786,74670
E14000787,83960
E14000788,88522
E14000789,102048
E14000790,84720
E14000791,77663
E14000792,91987
E14000793,121612
E14000794,71870
E14000795,74716
E14000796,70980
E14000797,91428
E14000798,82911
E14000799,71396
E14000800,71570
E14000801,88027
E14000802,74131
E14000803,81547
E14000804,85843
E14000805,79309
E14000806,74161
E14000807,140042
E14000808,89303
E14000809,79217
E14000810,85532
E14000811,76650
E14000812,87082
E14000813,90632
E14000814,66607
E14000815,65891
E14000816,86618
E14000817,89043
E14000818,84548
E14000819,72782
E14000820,74149
E14000821,99470
E14000822,99723
E14000823,80902
E14000824,76761
E14000825,70640
E14000826,78983
E14000827,74348
E14000828,70080
E14000829,84118
E14000830,85744
E14000831,84942
E14000832,87954
E14000833,72675
E14000834,76325
E14000835,75232
E14000836,90203
E14000837,75250
E14000838,77851
E14000839,78434
E14000840,70360
E14000841,92177
E14000842,94701
E14000843,74838
E14000844,79147
E14000845,78662
E14000846,75334
E14000847,74054
E14000848,72850
E14000849,89195
E14000850,80511
E14000851,86472
E14000852,78359
E14000853,85373
E14000854,73607
E14000855,102329
E14000856,75540
E14000857,85473
E14000858,82476
E14000859,77262
E14000860,75183
E14000861,65790
E14000862,77205
E14000863,71538
E14000864,86712
E14000865,90508
E14000866,72439
E14000867,102786
E14000868,74313
E14000869,69297
E14000870,80273
E14000871,79805
E14000872,70170
E14000873,96005
E14000874,86091
E14000875,69860
E14000876,71507
E14000877,67784
E14000878,91478
E14000879,71726
E14000880,92592
E14000881,78393
E14000882,134086
E14000883,75860
E14000884,93484
E14000885,74281
E14000886,70877
E14000887,78457
E14000888,80631
E14000889,88944
E14000890,77329
E14000891,68597
E14000892,70619
E14000893,80916
E14000894,81787
E14000895,89088
E14000896,97593
E14000897,84329
E14000898,88054
E14000899,82199
E14000900,81867
E14000901,74216
E14000902,76944
E14000903,76012
E14000904,70779
E14000905,81049
E14000906,74941
E14000907,88733
E14000908,81154
E14000909,84310
E14000910,90586
