PCON21CD,local-authority-code,percentage_overlap
E14000530,HAT,0.10092379584462968
E14000530,RUH,0.8990762041553703
E14000531,WLL,1.0
E14000532,TRF,1.0
E14000533,AMB,1.0
E14000534,ARU,0.26915097519722475
E14000534,CHI,0.0917230993900804
E14000534,HOR,0.47149371865324796
E14000534,MSS,0.16763220675944693
E14000535,ASH,0.8579293421841542
E14000535,BRT,0.14207065781584588
E14000536,ASF,1.0
E14000537,OLD,0.22474653531636735
E14000537,TAM,0.7752534646836327
E14000538,BUC,1.0
E14000539,CHR,1.0
E14000540,BDG,1.0
E14000541,BNS,1.0
E14000542,BNS,1.0
E14000543,WAF,1.0
E14000544,BAI,1.0
E14000545,BAN,1.0
E14000546,BAE,1.0
E14000547,BAS,1.0
E14000548,KIR,1.0
E14000549,WND,1.0
E14000550,BUC,1.0
E14000551,BRY,1.0
E14000552,BDF,1.0
E14000553,SWK,1.0
E14000554,NBL,1.0
E14000555,TWH,1.0
E14000556,ERY,1.0
E14000557,ROH,0.7207307379388735
E14000557,WEA,0.27926926206112646
E14000558,BEX,1.0
E14000559,WRL,1.0
E14000560,BIR,1.0
E14000561,BIR,1.0
E14000562,BIR,1.0
E14000563,BIR,1.0
E14000564,BIR,1.0
E14000565,BIR,1.0
E14000566,BIR,1.0
E14000567,BIR,1.0
E14000568,BIR,1.0
E14000569,DUR,1.0
E14000570,BBD,1.0
E14000571,MAN,0.7362104743453721
E14000571,SLF,0.26378952565462793
E14000572,BPL,0.7183900607656517
E14000572,WYR,0.28160993923434824
E14000573,BPL,1.0
E14000574,GAT,0.999730107918888
E14000574,NBL,0.00026989208111200067
E14000575,NBL,1.0
E14000576,ARU,1.0
E14000577,BOS,0.8032023613900867
E14000577,NED,0.1967976386099133
E14000578,BOL,1.0
E14000579,BOL,1.0
E14000580,BOL,0.8383818808708088
E14000580,WGN,0.16161811912919122
E14000581,SFT,1.0
E14000582,BOT,0.6466961595280477
E14000582,ELI,0.3533038404719523
E14000583,HIN,1.0
E14000584,BPC,1.0
E14000585,BPC,1.0
E14000586,BRC,0.8270555228627375
E14000586,WOK,0.17294447713726244
E14000587,BRD,1.0
E14000588,BRD,1.0
E14000589,BRD,1.0
E14000590,BRA,1.0
E14000591,BEN,1.0
E14000592,BEN,0.9998355747317275
E14000592,EAL,0.00016442526827249403
E14000593,EAL,0.0003567317109531967
E14000593,HNS,0.9996432682890468
E14000594,BRW,0.7937281655722496
E14000594,EPP,0.20627183442775043
E14000595,SMT,1.0
E14000596,ERY,0.36288554455491184
E14000596,NLN,0.6371144554450882
E14000597,BNH,0.7584143035798289
E14000597,LEE,0.24158569642017114
E14000598,BNH,1.0
E14000599,BST,1.0
E14000600,BST,1.0
E14000601,BST,1.0
E14000602,BST,1.0
E14000603,BRO,0.8272219831239844
E14000603,NNO,0.17277801687601554
E14000604,BRY,1.0
E14000605,BRM,1.0
E14000606,BRX,0.9479166663445855
E14000606,WEW,0.05208333365541451
E14000607,BRT,1.0
E14000608,BUC,1.0
E14000609,BUN,1.0
E14000610,EST,1.0
E14000611,BUR,1.0
E14000612,BUR,1.0
E14000613,MSU,0.5470608030451849
E14000613,WSK,0.4529391969548151
E14000614,CLD,1.0
E14000615,SWK,1.0
E14000616,CON,1.0
E14000617,CAB,0.9996903137114747
