PCON21CD,local-authority-code,percentage_overlap
E14000530,HAT,0.2631891834912711
E14000530,RUH,0.7368108122374581
E14000531,WLL,1.000000000000001
E14000532,TRF,1.0000000000000024
E14000533,AMB,0.9999999943477597
E14000534,ARU,0.22964437371947966
E14000534,CHI,0.2560091391634748
E14000534,HOR,0.4214926458163197
E14000534,MSS,0.09285383612035976
E14000535,ASH,0.8673507749643738
E14000535,BRT,0.13264920761991353
E14000536,ASF,0.9999999836414722
E14000537,OLD,0.2553417406160063
E14000537,TAM,0.7446582593839945
E14000538,BUC,0.9999999975142944
E14000539,CHR,0.9999999903912293
E14000540,BDG,0.9999991300386516
E14000541,BNS,1.0000000000000007
E14000542,BNS,0.9999999966773102
E14000543,WAF,0.9999999807761435
E14000544,BAI,0.9999999970819504
E14000545,BAN,0.9999999878520107
E14000546,BAE,0.9999999949888058
E14000547,BAS,0.9999999999999993
E14000548,KIR,0.9999999578604398
E14000549,WND,0.9999999928952633
E14000550,BUC,0.9999999740924777
E14000551,BRY,0.9999999994093695
E14000552,BDF,1.0000000000000004
E14000553,SWK,0.9999999808255299
E14000554,NBL,0.9999985858085879
E14000555,TWH,0.9999999937301378
E14000556,ERY,0.9999999974593249
E14000557,ROH,0.6892402641987408
E14000557,WEA,0.3107597357602303
E14000558,BEX,0.9999999965494925
E14000559,WRL,0.9999999999999997
E14000560,BIR,0.9999999999999982
E14000561,BIR,1.0000000000000004
E14000562,BIR,0.9999999999999999
E14000563,BIR,0.9999999999999997
E14000564,BIR,1.0000000000000016
E14000565,BIR,0.9999999997730435
E14000566,BIR,1.0000000000000016
E14000567,BIR,0.9999999999999988
E14000568,BIR,0.9999999466191261
E14000569,DUR,0.9999999929681079
E14000570,BBD,0.9999999890866844
E14000571,MAN,0.793815269559281
E14000571,SLF,0.20618473044071933
E14000572,BPL,0.6370713994331182
E14000572,WYR,0.3629286005569932
E14000573,BPL,0.9999999993559539
E14000574,GAT,0.9998744707193731
E14000575,NBL,0.9996587092850482
E14000576,ARU,0.9999999863815797
E14000577,BOS,0.7083988935508149
E14000577,NED,0.2916010864275912
E14000578,BOL,1.000000000000001
E14000579,BOL,0.9999999999999976
E14000580,BOL,0.9340352676230538
E14000580,WGN,0.06596473237694744
E14000581,SFT,0.9999999999999801
E14000582,BOT,0.5140389166194795
E14000582,ELI,0.4859610039743049
E14000583,HIN,0.9999999813456307
E14000584,BPC,0.9999999999999792
E14000585,BPC,0.9999999999881002
E14000586,BRC,0.6109825509146825
E14000586,WOK,0.3890174394168273
E14000587,BRD,0.9999999879740319
E14000588,BRD,0.9999999984170731
E14000589,BRD,1.000000000000001
E14000590,BRA,0.9999999978336379
E14000591,BEN,0.999999999312735
E14000592,BEN,0.9999999999999999
E14000593,HNS,0.9999999769688368
E14000594,BRW,0.4830669818614399
E14000594,EPP,0.5169330117834844
E14000595,SMT,0.9999883357735454
E14000596,ERY,0.21992361697550694
E14000596,NLN,0.7800763687582062
E14000597,BNH,0.7509230091079454
E14000597,LEE,0.24907698949953222
E14000598,BNH,0.9999999958143183
E14000599,BST,0.9999999999999805
E14000600,BST,0.9999999966456564
E14000601,BST,0.9999999928760263
E14000602,BST,0.999999999990475
E14000603,BRO,0.6904552938679407
E14000603,NNO,0.3095447042118837
E14000604,BRY,0.9999999943246259
E14000605,BRM,0.9999999954003788
E14000606,BRX,0.7693513268907528
E14000606,WEW,0.2306486621031336
E14000607,BRT,0.9999999540777776
E14000608,BUC,0.9999787864352883
E14000609,BUN,0.9999999277830287
E14000610,EST,0.9999999927115111
E14000611,BUR,0.9999999956402874
E14000612,BUR,0.9999999993365769
E14000613,MSU,0.6833635685531657
E14000613,WSK,0.3166364309825481
E14000614,CLD,0.9999999826883681
E14000615,SWK,0.9999999914696636
E14000616,CON,0.9999999997859607
E14000617,CAB,0.9999999891118296
E14000618,CAN,0.9999999982551069
E14000619,CAT,0.9999999753951753
E14000620,CBD,0.9999999681222667
E14000621,STN,0.9999999980100358
E14000622,CAS,0.9999997715678236
E14000623,EDE,0.020920067016751615
E14000623,MDE,0.33322466965721015
E14000623,TEI,0.331928392649565
E14000623,WDE,0.31392686979022
E14000624,ESK,0.32651779977146733
E14000624,IPS,0.010010003922424567
E14000624,MSU,0.6634721936064818
E14000625,BLA,0.08582649819959877
E14000625,CHA,0.8657567714017789
E14000625,HIN,0.04841670406629539
E14000626,MDW,0.23460468148915553
E14000626,TON,0.7653952918547031
E14000627,SKP,0.9999999950001964
E14000628,CHL,1.0000000000000002
E14000629,HMF,0.618623418743178
E14000629,KEC,0.3813765805741994
E14000630,CHT,0.9999999856480545
E14000631,BUC,0.999999975440187
E14000632,CHS,0.9999999608130603
E14000633,CHI,0.999999962893431
E14000634,RDB,0.2393147321121274
E14000634,WFT,0.7606851948378194
E14000635,WIL,0.9999999999987507
E14000636,BNE,1.0000000000000042
E14000637,CHO,0.9999999907394543
E14000638,BPC,0.4637356375678477
